rank,verbatim_factor,total_refs,transcripts,cross_case_factor,confidence,rationale
440,infrastructure maintenance capacity,3,3,Infrastructure,high,'infrastructure' over 'maintenance'
441,infrastructure rehabilitation,3,2,Infrastructure,high,'infrastructure' over 'rehabilitat'
442,infrastructure sustainability,3,2,Infrastructure,high,'infrastructure' over 'sustainab'
443,institutional accountability,3,3,Monitoring,high,matched 'accountab'
444,institutional capacity,3,1,Govt Management,high,matched 'institutional capacity'
445,institutional coordination,3,3,Coordination,high,matched 'coordinat'
446,institutional liquid waste discharge to rivers,3,1,Service Performance,high,matched 'liquid waste'
447,institutional/legal framework,3,1,Laws + Regulations,medium,matched 'legal'
448,investment attraction,3,3,Govt / External Finance,high,matched 'investment'
449,job opportunities,3,3,Community / Users,low,no match — defaulted to Community / Users
450,knowledge,3,1,Coordination,low,token-overlap fallback (1)
451,latrine capacity,3,2,Infrastructure,high,matched 'latrine'
452,latrine filling rate,3,1,Infrastructure,high,matched 'latrine'
453,latrine maintenance,3,2,O&M,high,'maintenance' over 'latrine'
454,latrine/pit emptying service access,3,1,Service Performance,high,'service access' over 'latrine'
455,liquid waste filtering systems,3,1,Service Performance,high,matched 'liquid waste'
456,livestock and agricultural production,3,2,Community / Users,high,matched 'livestock'
457,local expert capacity,3,2,Govt Management,high,matched 'expert'
458,local maintenance capacity,3,3,O&M,high,matched 'maintenance'
459,long-term water projects,3,1,Service Performance,low,token-overlap fallback (29)
460,machineries and equipment,3,1,Infrastructure,high,matched 'equipment'
461,machinery breakdown,3,2,Service Performance,low,'breakdown' over 'machinery'
462,maintenance service,3,3,O&M,high,matched 'maintenance'
463,maintenance team transportation,3,1,O&M,high,'maintenance' over 'transport'
464,maintenance timeliness,3,2,O&M,high,matched 'maintenance'
465,management capacity,3,3,Capacity Building,low,token-overlap fallback (7)
466,management committee turnover,3,2,Community Management,high,'management committee' over 'turnover'
467,management effectiveness,3,3,O&M,low,token-overlap fallback (6)
468,minor repairs,3,3,O&M,high,matched 'repair'
469,misuse of water revenue,3,1,Community Finance,medium,'revenue' over 'misuse'
470,monitoring and evaluation system,3,3,Monitoring,high,matched 'monitoring'
471,monitoring effectiveness,3,2,Monitoring,high,matched 'monitoring'
472,monitoring system,3,3,Monitoring,high,matched 'monitoring'
473,nomadic community settlement,3,1,Community / Users,high,matched 'settlement'
474,old water supply lines,3,3,Service Performance,high,matched 'water supply'
475,operation and maintenance capacity,3,3,O&M,high,matched 'operation and maintenance'
476,operation and maintenance knowledge,3,1,O&M,high,matched 'operation and maintenance'
477,personal and community hygiene,3,2,Community / Users,high,matched 'community'
478,pipeline monitoring,3,1,Monitoring,medium,'monitoring' over 'pipeline'
479,political interference in committee management,3,2,Politics,high,'political interfer' over 'committee'
480,population size,3,3,Community / Users,high,matched 'population'
481,preventive maintenance,3,3,O&M,high,matched 'maintenance'
482,professional water utility management,3,1,O&M,high,'utility management' over 'professional'
483,project financial resources,3,2,Govt / External Finance,high,matched 'financial resource'
484,project operationalization,3,1,Planning,low,token-overlap fallback (7)
485,project relevance to community,3,2,Community / Users,high,matched 'community'
486,project stalling,3,3,Planning,low,token-overlap fallback (7)
487,prompt repair,3,1,O&M,high,matched 'repair'
488,pump availability,3,2,Infrastructure,low,token-overlap fallback (2)
489,pump breakdown,3,2,Service Performance,high,matched 'breakdown'
490,pump functionality,3,2,Service Performance,high,matched 'functionality'
491,qualified personnel,3,2,Govt Management,high,matched 'personnel'
492,regular monitoring of water schemes,3,1,Monitoring,high,matched 'monitoring'
493,regular water supply,3,3,Service Performance,high,matched 'water supply'
494,rehabilitation needs,3,1,O&M,high,matched 'rehabilitat'
495,repair capacity,3,3,O&M,high,matched 'repair'
496,repair timeliness,3,3,O&M,high,matched 'repair'
497,reservoir capacity,3,2,Infrastructure,high,matched 'reservoir'
498,resource efficiency,3,3,Govt / External Finance,low,token-overlap fallback (3)
499,resource pooling,3,1,Govt / External Finance,low,token-overlap fallback (3)
500,resource wastage,3,3,Govt / External Finance,low,token-overlap fallback (3)
501,revenue accountability,3,2,Monitoring,medium,'accountab' over 'revenue'
502,revenue management,3,3,Community Finance,high,matched 'revenue'
503,river water contamination,3,3,Service Performance,high,'water contaminat' over 'contaminat'
504,rocky terrain,3,2,Environmental,high,matched 'terrain'
505,rural road infrastructure,3,2,Infrastructure,high,matched 'infrastructure'
506,rural scheme failure,3,1,Infrastructure,low,token-overlap fallback (4)
507,rural scheme management,3,2,O&M,high,matched 'scheme management'
508,rural water service sustainability,3,2,Sustainability,high,'water service sustainability' over 'water service'
509,salinity levels,3,2,Environmental,high,matched 'salinity'
510,sand dams,3,2,Infrastructure,medium,matched 'dams'
511,sanitation access,3,2,Service Performance,high,matched 'sanitation access'
512,sanitation and hygiene awareness,3,3,Community / Users,high,matched 'sanitation and hygiene'
513,sanitation behavior change,3,3,Community / Users,high,matched 'behavior'
514,sanitation compliance,3,2,Laws + Regulations,high,matched 'compliance'
515,sanitation conditions,3,3,Service Performance,high,matched 'sanitation condition'
516,sanitation infrastructure,3,2,Infrastructure,high,matched 'infrastructure'
517,sanitation outcomes,3,3,Service Performance,low,token-overlap fallback (10)
518,scheme accessibility,3,1,Infrastructure,low,token-overlap fallback (4)
519,scheme monitoring,3,2,Monitoring,high,matched 'monitoring'
520,security issues,3,1,Community / Users,low,no match — defaulted to Community / Users
521,service continuity,3,2,Service Performance,high,matched 'service continu'
522,service coverage,3,3,Service Performance,high,matched 'service coverage'
523,service delivery system,3,1,Service Performance,high,matched 'service deliver'
524,sewage disposal cost,3,1,O&M,low,token-overlap fallback (8)
525,sewage dumping truck availability,3,1,Service Performance,high,'dumping truck' over 'truck'
526,sewerage/drainage lines,3,1,Infrastructure,high,matched 'sewerage'
527,simultaneous maintenance response capacity,3,1,O&M,high,matched 'maintenance'
528,skills,3,1,Capacity Building,low,token-overlap fallback (1)
529,solar pump adoption,3,2,Infrastructure,medium,matched 'solar'
530,solution implementation,3,3,Infrastructure,high,matched 'implementation'
531,staffing,3,1,Govt Management,high,matched 'staffing'
532,stakeholder awareness,3,1,Coordination,high,'stakeholder' over 'awareness'
533,stakeholder meetings,3,3,Coordination,high,matched 'stakeholder'
534,stakeholder networking,3,1,Coordination,high,matched 'stakeholder'
535,stream development,3,1,Infrastructure,low,token-overlap fallback (3)
536,strong WASH coordination,3,1,Coordination,high,matched 'coordinat'
537,suction truck utilization,3,1,Infrastructure,medium,matched 'truck'
538,sufficient water service,3,1,Service Performance,high,matched 'water service'
539,sump wells in seasonal rivers,3,1,Community / Users,low,no match — defaulted to Community / Users
540,supervision quality,3,1,Monitoring,high,matched 'supervision'
541,surface water availability,3,1,Service Performance,high,matched 'water availab'
542,system functionality,3,3,Service Performance,high,matched 'functionality'
543,technical capacity,3,2,Capacity Building,low,token-overlap fallback (9)
544,technology adoption,3,3,Infrastructure,high,matched 'technology'
545,timely project completion,3,3,Planning,low,token-overlap fallback (7)
546,town environmental quality,3,1,Environmental,high,matched 'environmental'
547,town growth,3,3,Planning,high,matched 'town growth'
548,transport availability,3,2,Infrastructure,high,matched 'transport'
549,transport capacity,3,1,Infrastructure,high,matched 'transport'
550,tree plantation,3,1,Environmental,low,token-overlap fallback (1)
551,uncontrolled waste dumping,3,1,Service Performance,low,token-overlap fallback (7)
552,use of untreated water,3,3,Service Performance,low,token-overlap fallback (29)
553,vandalism,3,2,Community / Users,high,matched 'vandal'
554,waiting time at water sources,3,2,Service Performance,low,token-overlap fallback (32)
555,waste accumulation,3,3,Service Performance,low,token-overlap fallback (6)
556,waste collection vehicles,3,2,Service Performance,high,'waste collect' over 'vehicle'
557,waste disposal service,3,2,Service Performance,low,token-overlap fallback (23)
558,waste management capacity,3,3,Service Performance,high,matched 'waste management'
559,waste volume,3,2,Service Performance,low,token-overlap fallback (6)
560,water and sanitation service improvement,3,3,Service Performance,high,matched 'water and sanitation service'
561,water availability during drought,3,2,Service Performance,high,'water availab' over 'drought'
562,water facility development,3,3,Infrastructure,high,matched 'facility'
563,water facility management,3,1,O&M,high,'facility management' over 'facility'
564,water infrastructure,3,3,Infrastructure,high,matched 'infrastructure'
565,water line rehabilitation,3,2,O&M,high,matched 'rehabilitat'
566,water line replacement,3,3,Service Performance,low,token-overlap fallback (29)
567,water point sustainability,3,1,Infrastructure,medium,'water point' over 'sustainab'
568,water policy and regulations,3,2,Laws + Regulations,high,matched 'regulation'
569,water pressure,3,2,Service Performance,high,matched 'water pressure'
