factor,bucket,confidence,rationale,total_refs
service continuity,Service Performance,high,matched 'service continu',3
service coverage,Service Performance,high,matched 'service coverage',3
service delivery system,Service Performance,high,matched 'service deliver',3
sewage disposal cost,O&M,low,token-overlap fallback (8),3
sewage dumping truck availability,Service Performance,high,'dumping truck' over 'truck',3
sewerage/drainage lines,Infrastructure,high,matched 'sewerage',3
simultaneous maintenance response capacity,O&M,high,matched 'maintenance',3
skills,Capacity Building,low,token-overlap fallback (1),3
solar pump adoption,Infrastructure,medium,matched 'solar',3
solution implementation,Infrastructure,high,matched 'implementation',3
staffing,Govt Management,high,matched 'staffing',3
stakeholder awareness,Coordination,high,'stakeholder' over 'awareness',3
stakeholder meetings,Coordination,high,matched 'stakeholder',3
stakeholder networking,Coordination,high,matched 'stakeholder',3
stream development,Infrastructure,low,token-overlap fallback (3),3
strong WASH coordination,Coordination,high,matched 'coordinat',3
suction truck utilization,Infrastructure,medium,matched 'truck',3
sufficient water service,Service Performance,high,matched 'water service',3
sump wells in seasonal rivers,Community / Users,low,no match — defaulted to Community / Users,3
supervision quality,Monitoring,high,matched 'supervision',3
surface water availability,Service Performance,high,matched 'water availab',3
system functionality,Service Performance,high,matched 'functionality',3
technical capacity,Capacity Building,low,token-overlap fallback (9),3
technology adoption,Infrastructure,high,matched 'technology',3
timely project completion,Planning,low,token-overlap fallback (7),3
town environmental quality,Environmental,high,matched 'environmental',3
town growth,Planning,high,matched 'town growth',3
transport availability,Infrastructure,high,matched 'transport',3
transport capacity,Infrastructure,high,matched 'transport',3
tree plantation,Environmental,low,token-overlap fallback (1),3
uncontrolled waste dumping,Service Performance,low,token-overlap fallback (7),3
use of untreated water,Service Performance,low,token-overlap fallback (29),3
vandalism,Community / Users,high,matched 'vandal',3
waiting time at water sources,Service Performance,low,token-overlap fallback (32),3
waste accumulation,Service Performance,low,token-overlap fallback (6),3
waste collection vehicles,Service Performance,high,'waste collect' over 'vehicle',3
waste disposal service,Service Performance,low,token-overlap fallback (23),3
waste management capacity,Service Performance,high,matched 'waste management',3
waste volume,Service Performance,low,token-overlap fallback (6),3
water and sanitation service improvement,Service Performance,high,matched 'water and sanitation service',3
water availability during drought,Service Performance,high,'water availab' over 'drought',3
water facility development,Infrastructure,high,matched 'facility',3
water facility management,O&M,high,'facility management' over 'facility',3
water infrastructure,Infrastructure,high,matched 'infrastructure',3
water line rehabilitation,O&M,high,matched 'rehabilitat',3
water line replacement,Service Performance,low,token-overlap fallback (29),3
water point sustainability,Infrastructure,medium,'water point' over 'sustainab',3
water policy and regulations,Laws + Regulations,high,matched 'regulation',3
water pressure,Service Performance,high,matched 'water pressure',3
water problems,Service Performance,low,token-overlap fallback (29),3
water project funding,Govt / External Finance,high,matched 'funding',3
water project study quality,Planning,medium,matched 'study',3
water pump functionality,Service Performance,high,matched 'functionality',3
water pumping cost,Service Performance,low,token-overlap fallback (29),3
water recycling,Service Performance,low,token-overlap fallback (29),3
water reservoir capacity,Infrastructure,high,matched 'reservoir',3
water resource availability,Environmental,high,matched 'water resource',3
water resource management,Environmental,high,matched 'water resource',3
water resource scarcity,Environmental,high,matched 'water resource',3
water scarcity,Service Performance,high,matched 'water scarcity',3
water scheme condition,Service Performance,low,token-overlap fallback (30),3
water scheme contamination,Community / Users,high,matched 'contaminat',3
water scheme coverage,Service Performance,high,matched 'coverage',3
water scheme management quality,O&M,high,matched 'water scheme management',3
water scheme operation,O&M,high,matched 'scheme operation',3
water sector budget allocation,Govt / External Finance,high,matched 'budget',3
water sector development,Service Performance,low,token-overlap fallback (29),3
water sector funding,Govt / External Finance,high,matched 'funding',3
water sector performance,Service Performance,low,token-overlap fallback (30),3
water service cost,Service Performance,medium,'water service' over 'service cost',3
water service performance,Service Performance,high,matched 'service performance',3
water service quality,Service Performance,high,matched 'service quality',3
water service revenue,Service Performance,high,'water service' over 'revenue',3
water service solutions,Service Performance,high,matched 'water service',3
water source adequacy,Service Performance,low,token-overlap fallback (30),3
water source identification,Service Performance,low,token-overlap fallback (29),3
water supply access at health facilities,Service Performance,high,'water supply' over 'facilities',3
water supply expansion project completion,Service Performance,high,'water supply' over 'expansion',3
water supply interruption,Service Performance,high,matched 'water supply',3
water supply reliability,Service Performance,high,matched 'water supply',3
water supply shortage alleviation,Service Performance,high,matched 'water supply',3
water sustainability,Sustainability,high,matched 'water sustainability',3
water system functionality,Service Performance,high,matched 'functionality',3
water system operation,O&M,high,matched 'system operation',3
water table levels,Environmental,high,matched 'water table',3
water tariffs,Community Finance,high,matched 'tariff',3
water theft,Community / Users,medium,matched 'theft',3
water treatment materials supply,Service Performance,high,matched 'water treatment',3
water treatment requirements,Service Performance,high,matched 'water treatment',3
water utility office capacity,Govt Management,high,matched 'office capacity',3
willingness to pay,Community Finance,high,matched 'willingness to pay',3
wise use of water resources,Environmental,high,matched 'water resource',3
woreda technician capacity,O&M,high,'technician' over 'woreda',3
woreda water office budget,Govt / External Finance,low,'budget' over 'woreda',3
youth employment,Community / Users,medium,matched 'youth',3
